columns
kills
assists
deaths
goldEarned
goldSpent
champLevel
consumablesPurchased
damageDealtToBuildings
damageDealtToObjectives
damageDealtToTurrets
damageSelfMitigated
magicDamageDealt
magicDamageDealtToChampions
magicDamageTaken
physicalDamageDealt
physicalDamageDealtToChampions
physicalDamageTaken
totalDamageDealt
totalDamageDealtToChampions
totalDamageShieldedOnTeammates
totalDamageTaken
totalHeal
totalHealsOnTeammates
totalMinionsKilled
totalTimeCCDealt
totalTimeSpentDead
trueDamageDealt
trueDamageDealtToChampions
trueDamageTaken
puuid
win
